"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32616","Successful registration opens inactive page","Qase suite","2026-07-20","failed","2026-07-20","tests.ui.RegistrationTest","Smoke","tests.ui.RegistrationTest","checkSuccessfulRegistration"
"","11826","Create suite with required name field","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.SuiteTest","Smoke","tests.ui.SuiteTest","checkCreateSuite"
"","9018","Create test case with title and random Status, Severity, Priority, Type","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkCreateCase"
"","1700","Login page opens with email, password fields and Sign in button","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkLoginPageOpens"
"","12148","Delete test run","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RunTest","Smoke","tests.ui.RunTest","checkDeleteRun"
"","17256","Create test plan with case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.PlanTest","Smoke","tests.ui.PlanTest","checkCreatePlan"
"","6439","Login and creation new project with filling name and code fields","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateNewProject"
"","5254","Sign out from user menu returns to login page","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.LoginTest","Smoke","tests.ui.LoginTest","checkSignOut"
"","11905","Create test run with case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RunTest","Smoke","tests.ui.RunTest","checkCreateRun"
"","9955","Delete test case","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkDeleteCase"
"","2359","Create an account link opens signup page with registration fields","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.RegistrationTest","Smoke","tests.ui.RegistrationTest","checkSignupPageOpens"
"","8991","Create test case via Quick test","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.CaseTest","Smoke","tests.ui.CaseTest","checkCreateCaseViaQuickTest"
"","12784","Delete test plan","Qase suite","2026-07-20","passed","2026-07-20","tests.ui.PlanTest","Smoke","tests.ui.PlanTest","checkDeletePlan"
